시도,시군구,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,총주차대수,지상주차대수,지하주차대수
용인시,기흥구,중동,A44691615,백현마을동일하이빌,아파트,경기도 용인기흥구 중동 874 백현마을동일하이빌,경기도 용인시 기흥구 동백중앙로 312,20060321,14,743,989.0,90.0,899.0
용인시,기흥구,동백동,A44672214,호수마을계룡리슈빌,아파트,경기도 용인기흥구 동백동 604 호수마을계룡리슈빌,경기도 용인시 기흥구 동백평촌로 15,20060302,9,567,629.0,133.0,496.0
용인시,기흥구,동백동,A44691108,호수마을동보노빌리티,아파트,경기도 용인기흥구 동백동 654 호수마을동보노빌리티,경기도 용인시 기흥구 동백평촌로 39,20060227,9,481,646.0,40.0,606.0
용인시,기흥구,동백동,A44679510,호수마을상록롯데캐슬,아파트,경기도 용인기흥구 동백동 653 호수마을상록롯데캐슬,경기도 용인시 기흥구 동백평촌로 70,20070206,6,552,661.0,174.0,487.0
용인시,기흥구,영덕동,A44678707,흥덕마을13단지경남아너스빌,아파트,경기도 용인기흥구 영덕동 1117 흥덕마을13단지경남아너스빌,경기도 용인시 기흥구 흥덕4로30번길 11,20090619,7,368,736.0,5.0,731.0
용인시,기흥구,구갈동,A44657911,구갈세종그랑시아 2단지,아파트,경기도 용인기흥구 구갈동 273 구갈세종그랑시아 2단지,경기도 용인시 기흥구 기흥로38번길 34,19991108,10,194,236.0,3.0,233.0
용인시,기흥구,신갈동,A44695211,도현마을현대,아파트,경기도 용인기흥구 신갈동 165 도현마을현대,경기도 용인시 기흥구 구갈로 115-16,20010525,7,568,878.0,361.0,517.0
용인시,기흥구,구갈동,A44673507,구갈한성2차,아파트,경기도 용인기흥구 구갈동 385-1 구갈한성2차,경기도 용인시 기흥구 구갈로 16,19930705,7,384,126.0,126.0,0.0
용인시,기흥구,보정동,A44677016,보정한화꿈에그린,아파트,경기도 용인기흥구 보정동 1393 보정한화꿈에그린,경기도 용인시 기흥구 구교동로 17,20121030,6,379,580.0,0.0,580.0
용인시,기흥구,보정동,A44656506,솔뫼마을현대홈타운,아파트,경기도 용인기흥구 보정동 1169 솔뫼마을현대홈타운,경기도 용인시 기흥구 이현로30번길 7,20011220,7,382,753.0,612.0,141.0
용인시,기흥구,마북동,A44677102,구성자이3차,아파트,경기도 용인기흥구 마북동 638 구성자이3차,경기도 용인시 기흥구 구교동로118번길 7,20100329,7,309,478.0,46.0,432.0
용인시,기흥구,영덕동,A44696703,영통빌리지,아파트,경기도 용인기흥구 영덕동 916 영통빌리지,경기도 용인시 기흥구 중부대로55번길 11,19991106,30,472,475.0,385.0,90.0
용인시,기흥구,마북동,A44655904,마북우림,아파트,경기도 용인기흥구 마북동 352 마북우림,경기도 용인시 기흥구 구성로39번길 13,19980114,4,362,320.0,125.0,195.0
용인시,기흥구,마북동,A10027214,용인 구성역 효성해링턴플레이스,아파트,경기도 용인기흥구 마북동 651 용인 구성역 효성해링턴플레이스,경기도 용인시 기흥구 구성로53번길 20,20161123,6,296,303.0,0.0,303.0
용인시,기흥구,보정동,A10027771,샬레파인비스타 아파트,아파트,경기도 용인기흥구 보정동 1401 샬레파인비스타 아파트,경기도 용인시 기흥구 진산로 140,20151116,2,155,187.0,123.0,64.0
