시구;설치장소;주소;급속충전기(대);완속충전기(대);지원차종
경기도;동부도서관;경기도 용인시 처인구 역북동 504-1;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동부동주민센터;경기도 용인시 처인구 마평동 533-8;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;동용인지사;경기도 용인시 처인구 김량장동 87-15;0 ;6 ;레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV
경기도;동용인지사(공용);경기도 용인시 처인구 김량장동 87-15;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;마평라이프아파트;경기도 용인시 처인구 마평동 605-1;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;모현농협 하나로마트;경기도 용인시 처인구 모현읍 왕산리 815-2;2 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;모현다목적복지회관;경기도 용인시 처인구 모현읍 일산리 554-13;1 ;0 ;SM3 Z.E,테슬라
경기도;모현읍행정복지센터;경기도 용인시 처인구 모현읍 갈담리 309;1 ;0 ;SM3 Z.E,테슬라
경기도;삼라마이다스빌;경기도 용인시 처인구 남동 684;1 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;양지면사무소;경기도 용인시 처인구 양지면 양지리 701-9;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;에이스카운티;경기도 용인시 처인구 이동읍 천리 1142;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;온누리마을아파트(3군사령부);경기도 용인시 처인구 역북동 316-1;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;용인도시공사 평온의숲;경기도 용인시 처인구 이동읍 어비리 1462;2 ;0 ;SM3 Z.E,테슬라
경기도;용인수목원우림필유;경기도 용인시 처인구 포곡읍 삼계리 672;0 ;3 ;레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV
경기도;용인실내체육관;경기도 용인시 처인구 마평동 703;2 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;용인자연휴양림;경기도 용인시 처인구 모현읍 초부리 산 22;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;용인행정타운 두산위브2단지;경기도 용인시 처인구 삼가동 186-1;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;원삼면사무소;경기도 용인시 처인구 원삼면 고당리 88-1;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;유림동주민센터;경기도 용인시 처인구 유방동 475-20;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;육군용인관사;경기도 용인시 처인구 김량장동 525;0 ;1 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;이동읍사무소;경기도 용인시 처인구 이동읍 송전리 750-3;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;처인구코아루아파트;경기도 용인시 처인구 고림동 1002;1 ;0 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;행정타운늘푸른오스카빌아파트;경기도 용인시 처인구 삼가동 552;1 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;행정타운늘푸른오스카빌아파트2단지;경기도 용인시 처인구 삼가동 552;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
경기도;행정타운늘푸른오스카빌아파트3단지;경기도 용인시 처인구 삼가동 552;0 ;2 ;SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라
