,주소,y,x
270,경기 용인시 기흥구 금화로82번길 14,37.2647013177693,127.110847444307
271,경기 용인시 기흥구 금화로82번길 17,37.2661944455713,127.111793032675
272,경기 용인시 기흥구 덕영대로2077번길 8,37.2690334569471,127.095855224609
273,경기 용인시 기흥구 덕영대로2077번길 20,37.2675557588544,127.096287742686
274,경기 용인시 기흥구 덕영대로2077번길 53,37.2651606454878,127.093546638446
275,경기 용인시 기흥구 덕영대로2077번길 55,37.2653390169452,127.092212720784
276,경기 용인시 기흥구 탑실로 15,37.2390627712733,127.107802867191
277,경기 용인시 기흥구 탑실로 152,37.2438517617465,127.120931223097
278,경기 용인시 기흥구 서천동로 60,37.2355510623789,127.075095831711
279,경기 용인시 수지구 상현로 142,37.3107490147914,127.085095301061
280,경기 용인시 기흥구 동백4로 26,37.2715113932588,127.155462690092
281,경기 용인시 기흥구 동백4로 72,37.2708819348205,127.157433773015
282,경기 용인시 기흥구 동백5로 41,37.2759193992434,127.154890510455
283,경기 용인시 기흥구 동백5로 79,37.277304266373,127.157372954143
284,경기 용인시 수지구 광교호수로 431,37.3026023385572,127.08416392288
285,경기 용인시 기흥구 신구로42번길 15,37.2763076829334,127.111264173511
286,경기 용인시 기흥구 신구로42번길 22,37.275674254595,127.111739623189
287,경기 용인시 수지구 죽전로27번길 14-30,37.3212463544349,127.113706289114
288,경기 용인시 수지구 죽전로27번길 60,37.325852256569,127.112287195228
289,경기 용인시 기흥구 고매로 16,37.2312068798664,127.110957845049
290,경기 용인시 기흥구 고매로 26,37.2311643641017,127.11218674511
291,경기 용인시 수지구 성복2로76번길 31,37.315676733321,127.079716297203
292,경기 용인시 수지구 성복1로281번길 20,37.3252174638868,127.052135737832
293,경기 용인시 기흥구 동백7로 56,37.2817373119883,127.157828383583
294,경기 용인시 기흥구 흥덕1로79번길 9,37.2755121533177,127.070852363355
295,경기 용인시 기흥구 흥덕1로79번길 37,37.277975571288,127.070593415212
296,경기 용인시 기흥구 흥덕2로117번길 14,37.2790005717998,127.072420377421
297,경기 용인시 기흥구 흥덕2로118번길 25,37.2782697708764,127.077078008295
298,경기 용인시 기흥구 흥덕2로118번길 26,37.2773277008991,127.077404490044
299,경기 용인시 기흥구 신갈로 102,37.276052048159,127.106774058122
300,경기 용인시 기흥구 서천서로 125,37.2354638499494,127.070235398311
301,경기 용인시 기흥구 서천서로 27,37.2400643062814,127.071314487412
302,경기 용인시 기흥구 새천년로 13,37.289575361912,127.110620709808
303,경기 용인시 기흥구 새천년로 27,37.290213058126,127.111738001307
304,경기 용인시 기흥구 새천년로 40,37.2882245520391,127.114198561785
305,경기 용인시 기흥구 산양로 17,37.2848705435733,127.106446862302
306,경기 용인시 기흥구 구성2로 52,37.2952364873062,127.147262943559
307,경기 용인시 기흥구 구성3로 37,37.295534418755,127.149523802711
308,경기 용인시 기흥구 구성3로 38,37.2955017961538,127.151441268974
309,경기 용인시 기흥구 용구대로 2460,37.3049734360163,127.107305714974
310,경기 용인시 기흥구 마북로 124-9,37.3006967151864,127.124638352473
311,경기 용인시 기흥구 강남동로 20,37.269755501324,127.127939220502
312,경기 용인시 기흥구 강남동로 43,37.2703792957009,127.132763854106
313,경기 용인시 기흥구 강남동로 54,37.2690085523411,127.133476351771
314,경기 용인시 기흥구 강남동로 92,37.2705240589733,127.135340228322
315,경기 용인시 기흥구 강남동로 128,37.276432139191,127.137174942641
316,경기 용인시 기흥구 흥덕중앙로105번길 24,37.2776395288418,127.079611445893
317,경기 용인시 기흥구 흥덕중앙로105번길 40,37.2808919659532,127.082183227258
318,경기 용인시 기흥구 흥덕중앙로105번길 41,37.2810160867146,127.076604054775
319,경기 용인시 기흥구 동백7로 80,37.2814522857064,127.159261891494
320,경기 용인시 기흥구 동백7로 96,37.2802869728537,127.160794549979
321,경기 용인시 기흥구 동백7로 97,37.2810529120118,127.16134915975
322,경기 용인시 기흥구 동백8로 9,37.2860935473459,127.151565178041
323,경기 용인시 기흥구 동백8로 19,37.2873730253561,127.153519576544
324,경기 용인시 기흥구 동백8로 27,37.2861827077025,127.154248576494
325,경기 용인시 기흥구 동백8로 64,37.283449259189,127.157374021271
326,경기 용인시 수지구 수지로113번길 15,37.3130870956522,127.075416893363
327,경기 용인시 수지구 수지로113번길 16,37.3144340019255,127.076894709505
328,경기 용인시 기흥구 마북로 139,37.3027601328363,127.12023953873
329,경기 용인시 기흥구 마북로 140,37.301602343532,127.12274438066
330,경기 용인시 기흥구 한보라1로 91,37.2479667393955,127.106282330996
331,경기 용인시 기흥구 신촌로47번길 11,37.3086309651906,127.108734928999
332,경기 용인시 기흥구 중부대로788번길 15,37.2561440980568,127.141252685109
333,경기 용인시 기흥구 중부대로788번길 22,37.2575204651343,127.140474627322
334,경기 용인시 수지구 용구대로2801번길 16,37.3353598938799,127.10689101026
335,경기 용인시 수지구 용구대로2801번길 41,37.3342846372483,127.104737615065
336,경기 용인시 수지구 성복2로 126,37.318624249987,127.071894854674
337,경기 용인시 수지구 성복2로 158,37.3191315368797,127.070840827626
338,경기 용인시 수지구 성복2로 174,37.3215024435241,127.068981158302
339,경기 용인시 수지구 성복2로 184,37.3191183396399,127.067364215021
340,경기 용인시 기흥구 구성3로 65,37.2998817515135,127.149441951314
341,경기 용인시 수지구 만현로133번길 33,37.3047866854939,127.090792931685
342,경기 용인시 수지구 만현로67번길 9,37.3094917471565,127.087881148897
343,경기 용인시 수지구 만현로67번길 19,37.3094874133331,127.090404899185
344,경기 용인시 수지구 죽전로254번길 29,37.3332427881518,127.131607897612
345,경기 용인시 수지구 신봉2로 26,37.3254455462494,127.077699444274
346,경기 용인시 수지구 신봉2로 60,37.3277943445971,127.074640193937
347,경기 용인시 수지구 신봉2로 72,37.3285206048701,127.073006201223
348,경기 용인시 수지구 신봉2로 93,37.3285439119413,127.071580025863
349,경기 용인시 기흥구 언동로 193-26,37.2793066011735,127.144622107595
350,경기 용인시 기흥구 언동로 207,37.2775460815233,127.143865530133
351,경기 용인시 기흥구 용구대로2152번길 39,37.2802198818253,127.109843406507
352,경기 용인시 기흥구 구성로 44-10,37.2935974982875,127.113762894095
353,경기 용인시 기흥구 구성로 392,37.291712336195,127.154485418769
354,경기 용인시 기흥구 구성로 395,37.2931593253879,127.151617696712
355,경기 용인시 기흥구 구성로 411,37.2929253913132,127.153593788736
356,경기 용인시 기흥구 구성로 470,37.2970870890748,127.15360146072
357,경기 용인시 기흥구 구성로 475,37.2954772356295,127.153579691059
358,경기 용인시 기흥구 연원로 5,37.3013629715323,127.107915862695
359,경기 용인시 수지구 수지로 68,37.3087591030814,127.077999471009
360,경기 용인시 수지구 수지로 75,37.3090507025409,127.072725781919
361,경기 용인시 수지구 수풍로 13,37.3264294824777,127.087861493609
362,경기 용인시 수지구 수풍로 16,37.3261174567638,127.091193519229
363,경기 용인시 수지구 수풍로 38,37.326731637609,127.091844384411
364,경기 용인시 수지구 수풍로 47,37.3290253093973,127.091139488863
365,경기 용인시 수지구 수풍로 90,37.330418161595,127.093516684522
366,경기 용인시 수지구 진산로34번길 24,37.3142775569728,127.093682486019
367,경기 용인시 수지구 진산로34번길 29,37.3152042209919,127.095881780815
368,경기 용인시 처인구 중부대로 1348,37.2347371362997,127.193993074884
369,경기 용인시 처인구 양지면 교동로 1,37.2347110399464,127.285189473495
370,경기 용인시 기흥구 어정로 62-7,37.2703803487072,127.1395266513
371,경기 용인시 기흥구 어정로 62-28,37.2678764117371,127.13560201042
372,경기 용인시 기흥구 어정로 80,37.273028241496,127.139674616347
373,경기 용인시 기흥구 갈천로7번길 47,37.2703384908712,127.104723385184
