,지명,도로명�,위도,경도,활동지�,행정동,NUMPOINTS,chr_count,np_scaled,count * 활동지가중치,scaled_cnt*가중치,읍면동scaled,활동지시설최종수요지수
250,한국전력공사용인지점,경기도 용인시 처인구 금령로78번길 5 (김량장동),37.23457864,127.2056569,직장,중앙동,751.3873333333332,8,0.04883490860090134,0.048274508010399196,0.029781272763006003,0.6566810534337386,0.6864623261967446
490,청덕초등학교,경기도 용인시 기흥구 구성1로 61,37.29439648,127.1492572,학교,구성동,5489.897,0,0.35680481468061637,0.273599101748948,0.16878741623101784,0.5146254709459965,0.6834128871770144
236,우리은행,경기도 용인시 처인구 금령로 89,37.23555115,127.2060089,직장,중앙동,668.3870000000001,8,0.043440468859421794,0.04294197167578909,0.026491550596071573,0.6566810534337386,0.6831726040298102
474,매봉초등학교,경기도 용인시 수지구 수지로 75-1,37.31003125,127.0733254,학교,상현1동,4115.642,0,0.26748787474551183,0.20511057936428387,0.12653581284163595,0.554183572630524,0.6807193854721599
10,수지도서관,경기도 용인시 수지구 문정로7번길 23,37.32027656,127.0946856,공공기관,풍덕천2동,3125.113868684681,2,0.20311049092029626,0.3422911224033845,0.211164560775114,0.46290549620522065,0.6740700569803346
350,언남초등학교,경기도 용인시 기흥구 기흥로116번길 87,37.28975883,127.1195878,학교,구성동,5162.401,0,0.33551987079393814,0.2572777369899419,0.1587185199172995,0.5146254709459965,0.673343990863296
162,전통시장 제1공영,경기도 용인시 처인구 금령로71번길 12-29,37.23663279,127.2052506,주차장,중앙동,368.9266165521849,13,0.023977643487600796,0.02593319719826988,0.015998580849588898,0.6566810534337386,0.6726796342833276
75,롯데프리미엄아울렛 기흥점,경기도 용인시 기흥구 신고매로 124,37.22537006,127.1209127,대규모점포,기흥동,1427.256027627898,5,0.09276163513442325,0.11294869589523421,0.06967975561671541,0.6023377196500173,0.6720174752667327
253,현대정보기술연구소,,37.30859227,127.1327945,직장,마북동,2661.654746344086,5,0.1729888973350656,0.17100377884105664,0.10549481270887734,0.5656973928864053,0.6711922055952826
521,CGV 용인,경기도 용인시 처인구 금령로 86,37.23508598,127.2058152,영화관,중앙동,697.666,8,0.045343398580878096,0.022058448407992745,0.013608189826100625,0.6566810534337386,0.6702892432598393
476,동백중학교,경기도 용인시 기흥구 동백중앙로 385,37.28558222,127.1589105,학교,동백1동,13635.893,0,0.8862374421359297,0.6795697763263625,0.41923685407442485,0.2494509838235499,0.6686878378979748
529,CGV 광교상현,경기도 용인시 수지구 광교중앙로295번길 9,37.2968955,127.0681154,영화관,상현1동,5825.9905,3,0.37864853578920177,0.18420320163187806,0.11363773589233082,0.554183572630524,0.6678213085228548
301,용인시박물관,경기도 용인시 기흥구 동백 3로 79,37.27392025,127.1571468,관광지,동백2동,6066.506,0,0.394280357006488,0.31057657629773355,0.19159937850699313,0.47620104160716165,0.6678004201141547
341,초당중학교,경기도 용인시 기흥구 동백중앙로 119,37.26553571,127.1568124,학교,동백2동,6171.378,0,0.40109630173645017,0.30756195924135177,0.18973961573503953,0.47620104160716165,0.6659406573422012
514,칼빈대학교,경기도 용인시 기흥구 마북로 184,37.30514593,127.1286864,학교,마북동,3200.064162629274,4,0.20798173454128918,0.1594810759535869,0.09838628334623961,0.5656973928864053,0.664083676232645
201,동 백,기흥구 동백중앙로(중동 1058번지),37.26633766,127.1582881,주차장,동백2동,4322.965189034951,1,0.2809624284653012,0.3038769871802991,0.1874663008407557,0.47620104160716165,0.6636673424479174
323,상현고등학교,경기도 용인시 수지구 법조로 222,37.29911295,127.0743761,학교,상현1동,3477.863,0,0.22603671128976963,0.17332569132096678,0.10692723557025867,0.554183572630524,0.6611108082007826
17,동백동,경기도 용인시 기흥구 동백중앙로 213 (중동),37.2722139,127.1510056,공공기관,동백2동,2721.7890949844614,2,0.17689720838763517,0.2981152954467032,0.18391182622948438,0.47620104160716165,0.660112867836646
366,신리초등학교,경기도 용인시 수지구 신봉1로48번길 6,37.32235846,127.0808227,학교,신봉동,10033.732,0,0.6521222323141892,0.5000494658442,0.3084880644271619,0.3501824923489769,0.6586705567761388
418,구성고등학교,경기도 용인시 기흥구 연원로42번길 47,37.29914483,127.1156348,학교,마북동,2914.552,0,0.18942544573004189,0.1452520528528313,0.0896081841883273,0.5656973928864053,0.6553055770747326
263,아신물류(사옥),경기도 용인시 기흥구 하갈로15번길 34 (보라동),37.24957715,127.1027454,직장,보라동,5160.261,0,0.3353807857977321,0.3315321538295614,0.20452719064020528,0.4504807234832395,0.6550079141234447
210,한전기술정보센터,경기도 용인시 기흥구 용구대로 2354,37.29687484,127.1099132,직장,마북동,2214.547,0,0.14393002854817039,0.1422783724828635,0.08777367587621919,0.5656973928864053,0.6534710687626245
102,구성동 주민센터 앞,,37.29612697,127.1187374,주차장,구성동,3173.044099838828,1,0.20622561990077704,0.22304484054022566,0.137599729303895,0.5146254709459965,0.6522252002498915
169,구성동,경기도 용인시 기흥구 구성로77번길 17,37.29676402,127.1189815,주차장,구성동,3163.326331344981,1,0.20559403308110516,0.22236174315616253,0.13717831621535356,0.5146254709459965,0.6518037871613501
176,구 성 동,기흥구 구성로 77번길 17,37.29676402,127.1189815,주차장,구성동,3163.326331344981,1,0.20559403308110516,0.22236174315616253,0.13717831621535356,0.5146254709459965,0.6518037871613501
525,메가박스 용인테크노밸리,경기도 용인시 기흥구 구성로 357 용인테크노밸리 A동,37.29127905,127.1481243,영화관,구성동,6862.446,0,0.4460108765766893,0.2169733239739878,0.13385411907612657,0.5146254709459965,0.6484795900221231
211,청룡빌딩,경기도 용인시 기흥구 동탄기흥로 697,37.22224398,127.0976617,직장,기흥동,974.724,0,0.06335022609436008,0.06262325628671989,0.038633232189143815,0.6023377196500173,0.6409709518391611
504,샘말초등학교,경기도 용인시 기흥구 흥덕중앙로105번길 9,37.27733692,127.0781839,학교,영덕1동,6036.72,0,0.39234447583966886,0.3008510304491887,0.18559954245227372,0.44921551979837476,0.6348150622506485
375,나산초등학교,경기도 용인시 기흥구 한보라1로43번길 8,37.25030665,127.1093855,학교,보라동,5974.009,0,0.3882687005139321,0.29772571256621594,0.18367148666921193,0.4504807234832395,0.6341522101524514
35,신봉동,경기도 용인시 수지구 수지로 215 (신봉동),37.3206663,127.0836404,공공기관,신봉동,4159.533,3,0.2703404820205021,0.455590189372256,0.2810604655964989,0.3501824923489769,0.6312429579454758
5,이동꿈틀도서관,경기도 용인시 처인구 이동읍 경기동로705번길 16,37.13912274,127.1997556,공공기관,이동읍,2532.021,0,0.16456361270027997,0.27733015386211113,0.1710891586050916,0.45736949868470517,0.6284586572897968
527,메가박스 용인기흥,경기도 용인시 기흥구 신고매로 59 리빙파워센터,37.22341519,127.1142482,영화관,기흥동,1301.0307277897014,12,0.08455787562549749,0.041135327199780955,0.025377004344990448,0.6023377196500173,0.6277147239950077
171,여성회관,경기도 용인시 수지구 문정로7번길 15,37.32052477,127.095499,주차장,풍덕천2동,3793.2709429129895,2,0.24653601621659496,0.2666428470473747,0.1644959976911982,0.46290549620522065,0.6274014938964189
180,평생학습관,수지구 문정로 7번길 15,37.32052477,127.095499,주차장,풍덕천2동,3793.2709429129895,2,0.24653601621659496,0.2666428470473747,0.1644959976911982,0.46290549620522065,0.6274014938964189
500,한숲중학교,경기도 용인시 처인구 남사면 한숲로 109,37.15776721,127.1729779,학교,남사읍,3151.56,0,0.20482930403882682,0.15706378190846107,0.09689501815735825,0.528070613067289,0.6249656312246472
68,신세계백화점경기점,경기도 용인시 수지구 포은대로 536,37.32500933,127.1081372,대규모점포,죽전2동,6361.833377766428,6,0.4134745659860121,0.5034561211247713,0.3105896814979848,0.3107770339797813,0.6213667154777661
254,현대자동차중앙연구소,,37.30995953,127.1427122,직장,마북동,1361.532,0,0.08849003413756741,0.08747457472943139,0.05396438570195189,0.5656973928864053,0.6196617785883571
486,흥덕초등학교,경기도 용인시 기흥구 흥덕1로62번길 26,37.27236487,127.0716736,학교,영덕1동,5535.743500191003,2,0.3597845157577778,0.2758839463044272,0.1701969713302254,0.44921551979837476,0.6194124911286002
342,석성초등학교,경기도 용인시 기흥구 동백2로 53,37.2703565,127.1580707,학교,동백2동,4624.831,0,0.3005815897610046,0.23048694854214735,0.14219087807933636,0.47620104160716165,0.618391919686498
372,공세초등학교,경기도 용인시 기흥구 탑실로 86-10,37.23901832,127.1164888,학교,기흥동,505.923,0,0.0328814479138063,0.02521360206833262,0.01555465175063307,0.6023377196500173,0.6178923714006503
127,이동읍,경기도 용인시 처인구 이동읍 경기동로 673,37.14112038,127.1961973,주차장,이동읍,3660.528,0,0.23790865560377675,0.2573118615321176,0.1587395718625255,0.45736949868470517,0.6161090705472306
471,보라중학교,경기도 용인시 기흥구 한보라1로 63,37.24950722,127.1082152,학교,보라동,5248.153,0,0.34109314957648945,0.26155134543344744,0.16135497348221012,0.4504807234832395,0.6118356969654496
63,(주)이마트 죽전점,경기도 용인시 수지구 포은대로 552,37.32537764,127.1099311,대규모점포,죽전2동,6091.977705007557,6,0.3959358392468325,0.48210056491899156,0.2974151164825728,0.3107770339797813,0.6081921504623541
246,케이씨씨중앙연구소,경기도 용인시 기흥구 마북로240번길 17-3 (마북동),37.31245268,127.1372457,직장,마북동,1030.8177907400147,7,0.0669959292122372,0.06622712346717874,0.040856512258197454,0.5656973928864053,0.6065539051446027
28,남사면,경기도 용인시 처인구 남사면 내기로 22 (봉무리),37.1156802,127.1505051,공공기관,남사읍,1157.762,0,0.07524641279321993,0.1268087087728362,0.0782302067972375,0.528070613067289,0.6063008198645264
385,송전초등학교,경기도 용인시 처인구 이동읍 경기동로687번길 14,37.1408151,127.1986336,학교,이동읍,4814.602,0,0.31291537425400234,0.23994453493001575,0.14802540589754068,0.45736949868470517,0.6053949045822459
248,와이에스 인베스트먼트(주),경기도 용인시 기흥구 기흥단지로 406 (고매동),37.22007818,127.1381859,직장,기흥동,61.13,0,0.003973021410315363,0.00392742936134453,0.002422890463066839,0.6023377196500173,0.6047606101130841
505,동백초등학교,경기도 용인시 기흥구 동백평촌로 69,37.28055206,127.1563675,학교,동백1동,11516.111,0,0.7484664741790981,0.5739265463889723,0.35406395069335606,0.2494509838235499,0.603514934516906
340,지곡초등학교,경기도 용인시 기흥구 사은로 274-45,37.2521849,127.1382088,학교,보라동,4799.968,0,0.31196426685471307,0.2392152226578558,0.1475754821468538,0.4504807234832395,0.5980562056300933
139,동백동,경기도 용인시 기흥구 동백중앙로 214,37.27253257,127.1516873,주차장,동백2동,2800.8583690505193,2,0.1820361568378649,0.19688254831767438,0.12145981627531625,0.47620104160716165,0.5976608578824779
495,청덕중학교,경기도 용인시 기흥구 구성1로 23,37.29318256,127.1451614,학교,구성동,2615.493,0,0.16998870746818187,0.13034789822662635,0.08041358620030822,0.5146254709459965,0.5950390571463048
483,청덕고등학교,경기도 용인시 기흥구 구성1로 21,37.29233368,127.143917,학교,구성동,2564.239,0,0.16665755681605848,0.1277935609847727,0.07883777699450627,0.5146254709459965,0.5934632479405028
496,남곡초등학교,경기도 용인시 처인구 남사면 한숲로 110,37.15783665,127.1748328,학교,남사읍,2020.71,0,0.1313319825623811,0.10070579482549796,0.06212692512303602,0.528070613067289,0.5901975381903249
84,송전학교 주변,,37.13821385,127.1975319,주차장,이동읍,2946.55,0,0.19150509138826652,0.20712374433345712,0.12777776470266708,0.45736949868470517,0.5851472633873722
91,처인성로 주변,,37.11373368,127.1512434,주차장,남사읍,1221.945,0,0.07941785779858998,0.08589496997150778,0.05298990368044001,0.528070613067289,0.581060516747729
126,남사면,경기도 용인시 처인구 남사면 내기로 22,37.11568157,127.1505036,주차장,남사읍,1157.762,0,0.07524641279321993,0.08138331285299484,0.05020659429423876,0.528070613067289,0.5782772073615278
391,용인홍천고등학교,경기도 용인시 수지구 수지로227번길 22,37.32221072,127.0823971,학교,신봉동,7227.804393876503,1,0.46975661060760343,0.36021090919951887,0.22221954777395878,0.3501824923489769,0.5724020401229357
381,대현초등학교,경기도 용인시 수지구 용구대로2771번길 16,37.33359249,127.106521,학교,죽전2동,8430.596,0,0.5479296320909383,0.4201542383779285,0.2591994924727284,0.3107770339797813,0.5699765264525096
255,삼성에버랜드(주)유통사업부(시설),,37.31834371,127.138689,직장,마북동,0.0,0,0.0,0.0,0.0,0.5656973928864053,0.5656973928864053
67,쥬네브문월드,경기도 용인시 기흥구 동백5로 22,37.27591129,127.1514763,대규모점포,동백2동,1809.816519159194,5,0.11762538490695079,0.14322336826170115,0.08835665803822051,0.47620104160716165,0.5645576996453822
66,(주)이마트동백점,경기도 용인시 기흥구 동백죽전대로 444,37.27805584,127.1517027,대규모점포,동백2동,1794.5668125172067,5,0.11663426089272465,0.14201655291487086,0.087612155432191,0.47620104160716165,0.5638131970393526
69,쥬네브썬월드,경기도 용인시  기흥구 동백죽전대로 444,37.27805584,127.1517027,대규모점포,동백2동,1794.5668125172067,5,0.11663426089272465,0.14201655291487086,0.087612155432191,0.47620104160716165,0.5638131970393526
251,경기도소방학교,,37.12386875,127.1173547,직장,남사읍,838.04,0,0.05446672440210513,0.05384169641716294,0.033215755335654074,0.528070613067289,0.561286368402943
